OBJ_ID,CATEGORY,KEY,SMALL_VALUE,LOB_VALUE,AUDIT_SEQ
10497077,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10497079,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10497081,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10497083,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10497085,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10497087,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10497089,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10497091,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10497093,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10497095,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10497097,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10497099,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10497101,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10497103,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10497105,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10497107,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10497109,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10497111,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10497113,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10497115,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10497117,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10497119,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10497121,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10497123,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10497125,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10497127,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10497129,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10497131,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10497133,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10497135,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10497137,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10497139,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10497141,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10497143,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10497145,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10497147,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10497149,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10497151,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10497153,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10497155,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10497157,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10497159,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10497161,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10497163,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10497165,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10497167,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10497169,IP_FIREFNO,FIREFNO,1.2021E+18,,1
